peilbuis,p.value,conf_05,conf_95
003Xdiep,0.0015372070521847197,0.042,0.137
003Xondiep,0.11221403756835487,-0.002,0.02
7-0139,0.003944111495276256,0.034,0.139
BVBP008Xdiep,6.336814208710218e-5,0.056,0.121
BVBP008Xondiep,2.077276945482749e-5,0.051,0.103
CONSO2,2.7545629515449745e-4,0.084,0.208
CONSO3diep,0.6672525471064431,-0.041,0.062
CONSO3ondiep,0.5567770867282719,-0.044,0.025
CONSO4,0.4202867130996823,-0.054,0.024
CONSO6,6.36148003033332e-5,0.023,0.05
DS-01112,0.16893629388832004,-0.012,0.058
DS-01342,0.08288426166930031,-0,0.003
DS-02022,0.3737111582027044,-0.122,0.05
DS-02062,0.26129086645519345,-0.204,0.062
DS-02103,0.58233322530241,-0.003,0.005
DS-02272,0.8882184403932006,-0.105,0.092
DS-02352,0.30223564623622795,-0.145,0.05
DS-03061,9.21436593199602e-6,0.32,0.585
DS-03072,0.09934134566773371,-0.023,0.226
DS-03092,1.0146830801325951e-5,0.192,0.353
DS-03122,0.5377820227063788,-0.099,0.055
Maaswinkel,0.7055714220302389,-0.049,0.07
VEN_2,0.2927134257318035,-0.009,0.003
VEN_Bdiep,0.658314135129515,-0.037,0.056
ZIEP04_1diep,0.4792474945943531,-0.012,0.024
ZIEP04_2,0.4911507540198409,-0.02,0.04
ZIEP04_3diep,0.16304071041125745,-0.006,0.031
ZIEP04_4,0.02077555281396624,0.007,0.072
ZIEP04_5diep,0.6972054431559193,-0.066,0.046
